iter	Passed	Remaining
717	57954	458631
718	58033	458534
719	58114	458460
720	58194	458372
721	58275	458295
722	58354	458199
723	58436	458132
724	58510	457995
725	58592	457922
726	58663	457768
727	58739	457654
728	58820	457573
729	58900	457490
730	58971	457331
731	59051	457242
732	59133	457176
733	59216	457115
734	59295	457019
735	59381	456976
736	59462	456897
737	59542	456815
738	59619	456703
739	59697	456606
740	59778	456525
741	59855	456419
742	59937	456350
743	60014	456242
744	60103	456218
745	60184	456141
746	60267	456082
747	60347	455993
748	60428	455914
749	60509	455837
750	60590	455756
751	60670	455672
752	60741	455524
753	60817	455402
754	60898	455324
755	60968	455167
756	61090	455393
757	61175	455345
758	61255	455257
759	61324	455092
760	61405	455011
761	61479	454886
762	61564	454834
763	61644	454749
764	61716	454605
765	61799	454538
766	61874	454420
767	61946	454277
768	62024	454173
769	62105	454094
770	62183	453992
771	62265	453925
772	62342	453821
773	62425	453755
774	62498	453619
775	62569	453468
776	62649	453384
777	62731	453314
778	62809	453210
779	62887	453111
780	62963	453000
781	63042	452907
782	63145	452983
783	63220	452862
784	63302	452795
785	63385	452730
786	63467	452661
787	63544	452553
788	63620	452439
789	63695	452320
790	63776	452243
791	63855	452146
792	63938	452086
793	64013	451965
794	64091	451866
795	64171	451783
796	64253	451710
797	64326	451572
798	64408	451506
799	64491	451442
800	64563	451302
801	64634	451154
802	64704	450999
803	64781	450891
804	64853	450754
805	64931	450654
806	65010	450565
807	65086	450453
808	65164	450355
809	65247	450288
810	65324	450180
811	65459	450475
812	65532	450341
813	65614	450271
814	65699	450222
815	65784	450169
816	65866	450101
817	65947	450026
818	66025	449921
819	66106	449846
820	66188	449776
821	66271	449712
822	66353	449640
823	66436	449574
824	66509	449442
825	66580	449298
826	66659	449207
827	66743	449147
828	66813	448993
829	66885	448858
830	66966	448776
831	67043	448676
832	67119	448567
833	67201	448491
834	67275	448371
835	67356	448292
836	67438	448220
837	67527	448196
838	67636	448300
839	67751	448448
840	67863	448578
841	67946	448512
842	68026	448429
843	68106	448340
844	68191	448287
845	68278	448249
846	68387	448350
847	68511	448553
848	68607	448577
849	68679	448435
850	68758	448343
851	68836	448244
852	68922	448198
853	68992	448046
854	69095	448110
855	69188	448109
856	69268	448023
857	69338	447868
858	69417	447779
859	69495	447680
860	69573	447579
861	69666	447579
862	69760	447583
863	69848	447545
864	69928	447460
865	70007	447370
866	70095	447335
867	70177	447257
868	70257	447176
869	70339	447099
870	70416	446994
871	70494	446895
872	70568	446771
873	70639	446629
874	70717	446530
875	70790	446398
876	70863	446268
877	70946	446204
878	71028	446130
879	71100	445993
880	71183	445925
881	71262	445834
882	71340	445737
883	71432	445723
884	71510	445628
885	71589	445533
886	71672	445470
887	71751	445376
888	71820	445225
889	71898	445125
890	71971	444997
891	72060	444966
892	72153	444962
893	72235	444887
894	72314	444796
895	72399	444739
896	72470	444598
897	72561	444578
898	72643	444506
899	72730	444467
900	72805	444350
901	72890	444290
902	73009	444443
903	73085	444332
904	73166	444255
905	73241	444135
906	73329	444098
907	73424	444107
908	73509	444046
909	73588	443958
910	73664	443847
911	73743	443756
912	73836	443746
913	73917	443665
914	73998	443587
915	74069	443447
916	74153	443384
917	74241	443348
918	74317	443236
919	74401	443175
920	74483	443098
921	74560	442996
922	74644	442931
923	74718	442811
924	74805	442766
925	74885	442679
926	74965	442595
927	75045	442510
928	75132	442466
929	75208	442356
930	75288	442269
931	75367	442176
932	75448	442097
